2025-04-08 10:30 - 2025-04-08 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-04-15 10:30 - 2025-04-15 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-04-22 10:30 - 2025-04-22 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-04-29 10:30 - 2025-04-29 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-05-06 10:30 - 2025-05-06 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-05-13 10:30 - 2025-05-13 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-05-20 10:30 - 2025-05-20 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-05-27 10:30 - 2025-05-27 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-06-03 10:30 - 2025-06-03 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-03-07 09:40 - 2025-03-07 10:30: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-03-14 09:40 - 2025-03-14 10:30: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-03-21 09:40 - 2025-03-21 10:30: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-03-28 09:40 - 2025-03-28 10:30: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-04-04 09:40 - 2025-04-04 10:30: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-04-11 09:40 - 2025-04-11 10:30: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-04-18 09:40 - 2025-04-18 10:30: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-04-25 09:40 - 2025-04-25 10:30: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-05-02 09:40 - 2025-05-02 10:30: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-05-09 09:40 - 2025-05-09 10:30: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-05-16 09:40 - 2025-05-16 10:30: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-05-23 09:40 - 2025-05-23 10:30: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-05-30 09:40 - 2025-05-30 10:30: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-06-06 09:40 - 2025-06-06 10:30: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-03-03 08:50 - 2025-03-03 09:40: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-03-10 08:50 - 2025-03-10 09:40: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-03-17 08:50 - 2025-03-17 09:40: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-03-24 08:50 - 2025-03-24 09:40: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-03-31 08:50 - 2025-03-31 09:40: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-04-07 08:50 - 2025-04-07 09:40: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-04-14 08:50 - 2025-04-14 09:40: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-04-21 08:50 - 2025-04-21 09:40: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-04-28 08:50 - 2025-04-28 09:40: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-05-05 08:50 - 2025-05-05 09:40: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-05-12 08:50 - 2025-05-12 09:40: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-05-19 08:50 - 2025-05-19 09:40: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-05-26 08:50 - 2025-05-26 09:40: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-06-02 08:50 - 2025-06-02 09:40: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
